st,ad,theta,phi,alpha1,alpha2,m,p,t,ct,cl,eta
0.8384339848661245,0.831147350752609,0.002140426882625295,0.9159125627685553,0.5223673911592926,0.22487218356533617,0.6724281391822877,0.41645095968327184,0.46775403323132314,-0.42117226123809814,0.4199739396572113,1.8711192607879639
0.7508537897508772,0.963398827690552,0.5193898509269527,0.2707645680664752,0.9172929525375366,0.9917210843742332,0.1884452403336816,0.8099956031878894,0.985643605652461,1.735668420791626,0.7637596130371094,0.29574665427207947
0.7589921373392057,0.926146281190529,0.0023936910654497132,0.9900000095367432,0.41141768827169556,0.2507344232214411,0.7086220881080334,0.39481917562441493,0.7863544809535725,-0.27943116426467896,0.46989119052886963,1.6919536590576172
0.8615001851812606,0.6718124278837644,0.48902233726232164,0.9970964697107774,0.9117696379708442,0.038884816367878855,0.9987292234913152,0.3919775752453941,0.5244479866537658,-0.5794418454170227,0.6861905455589294,
0.464375550892906,0.861787491949277,0.6256562482100636,0.989495128062059,0.9012960075060557,0.11516349892305501,0.9273099623566551,0.6923457312715469,0.6391278456092588,-0.6437668800354004,0.7803157567977905,
0.8801376782494115,0.9898985272172389,0.5901569673354116,0.4337697296753629,0.978688634986687,0.9945275529753912,0.7668546176136638,0.7518255004852898,0.9324696889726605,5.659711837768555,2.6356120109558105,-4.092453956604004
0.7916280753703551,0.9670237306615919,0.5805116686001287,0.21746935064601436,0.9520735969717488,0.9964379028896087,0.3429100119087282,0.4215476826730149,0.8344382036455067,1.314599633216858,1.4600387811660767,0.22689507901668549
0.865360092520606,0.9905632851562046,0.6282462703434882,0.45022173036706076,0.9772210639848626,0.9806249432037955,0.7519214135286959,0.8322173621644935,0.9130887641067288,,1.7436223030090332,-3.9127211570739746
0.8742124879198914,0.54075841440272,0.009999999776482582,0.9999431355745586,0.884314002820718,0.3143152901927213,0.6135794813315899,0.8861170102086111,0.9239803036412877,-0.5815166234970093,1.5157792568206787,0.9600670337677002
0.9136171715802602,0.9973424994044559,0.5080875291094085,0.4052810616137418,0.896592625547078,0.9918124973366022,0.66202822414213,0.3891625149382213,0.9004658004486255,4.346190929412842,4.302247047424316,-5.483633041381836
0.4302033788508323,0.9865603435444402,0.5272442458614903,0.6052450279025416,0.9016998289164337,0.9915959137624223,0.5766243483696498,0.3531277345873956,0.972019104007536,1.6191856861114502,2.72200870513916,-2.677095651626587
0.9670357551375864,0.4443271737328876,0.0023657672996010674,0.9366043897337195,0.473463424351379,0.35410190715657264,0.6980008602957357,0.4036780313221125,0.9116226649676008,-0.3509656488895416,0.7927697896957397,1.457334041595459
0.9477642507056844,0.9886111496499548,0.0007696079355733465,0.9759785385480868,0.8126490030105702,0.9810989472329069,0.6945010920333473,0.36652784656420545,0.9153688483838545,10.650657653808594,4.29572057723999,-7.097574234008789
0.776056519806016,0.9180382193977006,0.0006371606809766339,0.985415281502686,0.42226874909516876,0.30211523447798616,0.8397592160710365,0.4305989081260956,0.9129793514248534,-0.05748724937438965,0.3595287501811981,1.5064010620117188
0.7879739973052309,0.58950778218111,0.22707101029546994,0.9953713040220087,0.8195995915448135,0.3112495559019157,0.7200190000637219,0.4144970119538608,0.7875027932811408,-1.1015723943710327,1.8352844715118408,0.9292480945587158
0.9339584753539528,0.8336957312727256,0.005532047449719135,0.9942999820372288,0.8072677028951655,0.9900009015631696,0.822877603901016,0.3697088757879267,0.8528690418689705,3.9092295169830322,,
0.7956076369095204,0.877252587286515,0.41266048610392564,0.2789373696662041,0.9052045932182103,0.9915183989459011,0.12108297566596155,0.41193645910428167,0.985643605652461,1.9119322299957275,1.4095213413238525,0.1583118736743927
0.8855403971644852,0.9911076055473423,0.631922013263408,0.42083733626123954,0.9770545326610335,0.9965042259663582,0.7831067426533389,0.7628305907082633,0.9501025689013737,4.785523891448975,2.295722484588623,-3.602369785308838
0.9466810660012556,0.9201011529434339,0.009975259623202164,0.9631663081470027,0.8979668560456836,0.9900000095367432,0.7004903465058316,0.3789872610295338,0.8507469769313438,2.611478328704834,,-7.130527496337891
0.7883175197297987,0.5956372979822441,0.22707101029546994,0.9953713040220087,0.8195995915448135,0.3112495559019157,0.7213474621511063,0.6705601778838223,0.7875027932811408,-1.0850646495819092,1.7828967571258545,0.8579038381576538
0.7776141320950815,0.9200000166893005,0.5418007397988973,0.2464917242904288,0.9000315712149626,0.9790413804462076,0.13864214477002293,0.28739296151014576,0.9661077755409736,1.5365574359893799,1.0805037021636963,0.2771454155445099
0.9139963860546829,0.9988994993846132,0.49392483646585295,0.406759331511269,0.9003809950677784,0.9970552955923705,0.66202822414213,0.3891625149382213,0.9044213833743141,4.366952896118164,4.218085289001465,-5.579706192016602
0.9765667857951881,0.16927302044698003,0.013778850145240561,0.8230237936206977,0.8512223709492416,0.53109720379166,0.9905429547218352,0.8661211214953418,0.8851661781782524,-0.36956483125686646,1.9229779243469238,0.852332592010498
0.859665688093931,0.9915466403032055,0.5360335060642718,0.46482641802959823,0.888793348973344,0.9888735768461419,0.7244280989934601,0.8394948911303354,0.9038419101629784,,2.79591965675354,-4.924533843994141
0.8972729685231849,0.9198672135267625,0.557374483111734,0.5819384998936433,0.9520520392204848,0.9987012103953153,0.3068732213893234,0.41483700664946427,0.9754697365728315,,0.15467911958694458,
0.40869732017738075,0.9883171117173365,0.5299299176097869,0.6052450279025416,0.9748474368460835,0.9991871478827193,0.5564497859162922,0.3127027969575913,0.9716963473217259,1.5302937030792236,2.114448308944702,-2.5142016410827637
0.6000000238418579,0.9830481688753608,0.6120162097394161,0.4938664750574556,0.8543061066756393,0.9998875000063855,0.7275381422306724,0.3821864155672729,0.9786226454517428,,2.7508697509765625,-4.867694854736328
0.7508537897508772,0.9622737790878504,0.5172949871296313,0.28741204871834564,0.9172929525375366,0.9917210843742332,0.2069900291780712,0.7998440613352815,0.996015572589186,1.924187421798706,1.027414321899414,0.26587653160095215
